id,class,set
taiwan__vocal_polyphonies_of_the_aboriginessegment47,Asian traditional folklore,train
_tunisian_folk_musicsegment95,African traditional folklore,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment177,20th century experimental open view,train
jsbach_complete_orchestralsuites__oklemperer_newphilharmoniao__1969segment76,Baroque Classical secular subject,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment230,Baroque Classical symbolism,train
cuban_instrumental_music_salsa__latin_music__cuba_folk_music__traditional_musicsegment58,Modern instrumental music,train
schoenberg_string_quartets1to4segment237,20th century experimental figure,train
sacred_music_of_the_renaissancesegment33,Renaissance symbolism,train
gims_album_complet_2023__gims_meilleures_chansons_2023__gims_plus_grands_succes_2023segment72,Electronic music,train
afghanistan_songs_of_the_pashayi_19701971segment69,Asian traditional folklore,validation
the_very_best_of_keith_jarrett_full_album_2023segment83,Modern instrumental music,train
ives__symphony_4_audio__scoresegment19,20th century experimental open view,train
n_i_g_h_t_w_i_s_h_greatest_hits_full_album__best_songs_of_n_i_g_h_t_w_i_s_h_playlist_2021segment118,Heavy metal,train
scriabin_mazurkas_poemes__impromtusop1toop38segment284,20th century traditional figure,train
rimskykorsakov__the_golden_cockerel__moscow_po__kitaenkosegment156,20th century traditional open view,validation
youre_a_royal_falling_in_love_in_an_ancient_asian_kingdomsegment65,Asian traditional folklore,train
mayan_ambiance_mexican_traditional_musicsegment94,American traditional folklore,validation
bach_the_welltempered_clavier_book_1_harpsichord_pierre_hantaisegment209,Baroque Classical secular subject,train
paul_hindemith_ludus_tonalissegment171,20th century experimental figure,train
giovanni_gabrieli_15571612_sacrae_symphoniae__canzoni_for_double_choir__brasssegment3,Renaissance symbolism,train
the_best_of_pandit_jasraj__audio_jukebox__vocal__classical__music_todaysegment52,Asian traditional folklore,train
turangalila_symphony__olivier_messiaensegment105,20th century experimental open view,train
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment32,American traditional folklore,test
the_best_of_madonna_songs_2022__madonna_greatest_hits_full_album__la_isla_bonita_hung_up_segment125,Electronic music,validation
scriabin_mazurkas_poemes__impromtusop1toop38segment82,20th century traditional figure,train
sister_rosetta_tharpe__the_best_of_vol_1_full_album__album_completsegment130,African traditional folklore,train
mussorgsky_pictures_at_an_exhibition__full___bpo__karajansegment47,Romanticism open view,train
bach_the_welltempered_clavier_book_1_harpsichord_pierre_hantaisegment82,Baroque Classical secular subject,train
byrd_bull_morley_etc__english_virginalists_zuzana_ruzickovasegment74,Renaissance secular subject,train
grieg_complete_lyrical_piecessegment189,20th century traditional figure,train
the_best_of_rihanna__rihanna_greatest_hits_full_album_2023segment144,Electronic music,train
frederic_chopin__19_nocturnes_rubinsteinsegment36,Romanticism figure,train
cuban_instrumental_music_salsa__latin_music__cuba_folk_music__traditional_musicsegment108,Modern instrumental music,train
african_folk_music_instrumental__marimba_kalimba__drumssegment112,African traditional folklore,validation
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment95,Renaissance symbolism,train
beautiful_russian_traditional_music_kalinka_katyusha_etc_____segment36,European traditional folklore,train
piruw_folk_and_traditional_musicsegment4,American traditional folklore,train
terry_riley__rainbow_in_colognesegment7,Electronic music,train
scriabinetudesop42to65segment44,20th century experimental figure,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment58,American traditional folklore,train
_russian_folk_songs______segment76,European traditional folklore,train
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment53,American traditional folklore,train
anton_webern__symphony_op_21_192728segment4,20th century experimental open view,train
schumann__cello_concerto__rostropovich__leningrad__rozhdestvenskysegment46,Romanticism open view,train
orlande_de_lassus__motets__chansonse__the_hilliard_ensemblesegment43,Renaissance symbolism,train
1_hour__mix_of_the_most_beautiful_native_american_musicsegment92,American traditional folklore,train
byrd_bull_morley_etc__english_virginalists_zuzana_ruzickovasegment3,Renaissance secular subject,train
modest_mussorgsky_pieces_for_pianosegment20,Romanticism figure,train
the_smiths_greatest_hits_full_album__best_songs_of_the_smiths_playlist_2021segment12,Modern instrumental music,train
antonio_vivaldi__le_quattro_stagioni__the_four_seasons__classical_musicsegment99,Baroque Classical secular subject,train
adrian_willaert_and_his_circle_ricercari_da_musica_novasegment9,Renaissance secular subject,train
helloween__helloween_full_album_2021segment89,Heavy metal,train
best_h_a_n_s_zimmer_music__most_beautiful_film_music__3_hourssegment36,20th century traditional open view,train
_guan_pinghu__segment19,Asian traditional folklore,train
scriabinsonate1to4segment18,20th century traditional figure,validation
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment516,20th century traditional figure,train
shostakovich__symphony__10_in_e_minor_op__93_scoresegment46,20th century experimental open view,train
socrate__erik_satiesegment53,20th century experimental open view,validation
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment25,American traditional folklore,test
beethoven__missa_solemnis__new_mastering__p_centurys_recording_herbert_von_karajan_1975segment2,Baroque Classical symbolism,train
flashback_lee_perry__skanking_with_the_upsetter_rare_dubs_19711974segment6,African traditional folklore,train
andina_inca_music_from_ecuadorsegment27,American traditional folklore,train
Jean_Michel_Jarre__The_Best_Hit_Collections_Disc_12_full_albumsegment303,Electronic music,train
african_folk_music_instrumental__marimba_kalimba__drumssegment57,African traditional folklore,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment194,Romanticism open view,test
robert_schumann__symphony_no_4_op_120_1851_sheet_musicsegment34,Romanticism open view,train
kpenderecki_a_polish_requiemsegment90,20th century abstractionism,train
john_dunstable_c13901453__musician_to_the_plantagenetssegment31,Renaissance symbolism,train
f_liszt__mephisto_waltzes_complete_cyprien_katsarissegment24,Romanticism figure,train
yehudi_menuhin_plays_bartok_solo_sonatasegment37,20th century experimental figure,train
messiaen_catalogue_doiseauxsegment185,20th century experimental figure,test
tchaikovsky_string_quartetssegment225,Romanticism figure,train
the_best_of_rihanna__rihanna_greatest_hits_full_album_2023segment308,Electronic music,train
the_best_song_of_richard_wagner___richard_wagne_top_hit_collectionsegment327,Romanticism open view,train
bach_the_welltempered_clavier_book_1_harpsichord_pierre_hantaisegment11,Baroque Classical secular subject,train
the_best_of_bizetsegment143,Romanticism open view,validation
tchaikovsky__piano_trio__kogan__rostropovich__gilelssegment63,Romanticism figure,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment347,Romanticism open view,train
flutes_of_rajasthan__1977segment16,Asian traditional folklore,train
cumbias_chichadelicas__peruvian_psychedelic_chicha_infopesa_disco_completo__full_albumsegment81,Modern instrumental music,train
the_best_of_kraftwerk___kraftwerkthe_greatest_hits_of_kraftwerksegment211,Electronic music,train
electric_wizard__witchcult_today_full_albumsegment106,Heavy metal,train
dukas_lapprenti_sorciersegment19,20th century traditional open view,train
aesop_rock__select_songssegment143,Electronic music,validation
pantera__the_best_of_full_albumsegment51,Heavy metal,train
smetana_ma_vlastsegment135,Romanticism open view,train
stravinsky_pulcinella_with_scoresegment20,20th century traditional open view,train
best_songs_of_ludovico_einaudi_ludovico_einaudi_greatest_hits_full_album_2021hqsegment142,20th century traditional figure,train
john_cage_piano_works_full_albumsegment210,20th century abstractionism,train
traditional_african_music_compilation_african_tribal_music__african_melodiessegment52,African traditional folklore,train
tchaikovsky__the_seasons_full__piano_vadim_chaimovichsegment64,Romanticism figure,train
los_incas__flutes_des_andes_1967__philips__849489segment50,American traditional folklore,train
manu_chao_sus_mejores_exitos__manu_chao_30_grandes_exitossegment105,African traditional folklore,train
mozart__requiem_in_d_minor_completefull_hdsegment62,Baroque Classical symbolism,train
michaeljackson_greatest_hits_2023__michael_jackson_best_soul_songs_90s__2000s_playlistsegment240,Electronic music,train
traditional_japanese_folk_and_work_songssegment32,Asian traditional folklore,train
symphony_no_9__beethovensegment127,Baroque Classical secular subject,train
js_bach_musikalisches_opfer_bwv_1079_le_concert_des_nations__jsavallsegment62,Baroque Classical secular subject,train
__the_best_of_east_europe_folk__2021segment68,European traditional folklore,train
sacred_chants_and_tibetan_rituals_from_the_monastery_of_miriksegment78,Asian traditional folklore,train
symphonie_pour_un_homme_seulsegment23,20th century abstractionism,train
adrian_willaert_and_his_circle_ricercari_da_musica_novasegment147,Renaissance secular subject,train
tool__fear_inoculum_full_album_hqsegment121,Heavy metal,train
slipknot__greatest_hitssegment323,Heavy metal,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment360,Romanticism open view,train
liszt__12_etudes_dexecution_transcendante_claudio_arrausegment73,Romanticism figure,train
__the_best_of_east_europe_folk__2021segment175,European traditional folklore,train
john_dowland__2_hours_with_the_best_lute_classical_music_hqsegment107,Renaissance secular subject,validation
la_monte_young__composition_1960_no7segment5,20th century abstractionism,train
death__the_sound_of_perseverance_reissue_full_album_streamsegment48,Heavy metal,test
mendelssohn_songs_without_words__lieder_ohne_worte_full_albumsegment226,Romanticism figure,train
a_vivaldi_concerti_con_molti_strumenti_europa_galante__f_biondisegment181,Baroque Classical secular subject,validation
chopin_4_impromptus_op29_36_51_66_kissinsegment35,Romanticism figure,validation
symphony_no1__krzysztof_pendereckisegment10,20th century abstractionism,train
a_u_d_i_o_s_l_a_v_e_greatest_hits_full_album__best_songs_of_a_u_d_i_o_s_l_a_v_e__rock_songssegment28,Modern instrumental music,train
manu_chao_sus_mejores_exitos__manu_chao_30_grandes_exitossegment75,African traditional folklore,train
richard_strauss__metamorphosensegment40,20th century experimental open view,validation
schoenberg_complete_works_for_piano_solo_glenn_gouldsegment66,20th century experimental figure,train
motets_of_the_venetian_school_xvi_centurysegment39,Renaissance symbolism,train
music_for_18_musicianssegment91,20th century abstractionism,train
symphony_no8_songs_of_transcience_revised_version__krzysztof_pendereckisegment17,20th century abstractionism,validation
camille_saintsaens_clarinet_sonata_op_167_1921segment28,Romanticism figure,train
smetana_ma_vlastsegment77,Romanticism open view,train
smetana_ma_vlastsegment85,Romanticism open view,train
la_monte_young__the_tortoise_his_dream_and_journeys_1964segment9,20th century abstractionism,train
beethoven__piano_sonata_no_30_in_e_major_op_109_audiosheet_arrausegment17,Baroque Classical secular subject,train
the_best_of_bill_evans_full_albumsegment16,Modern instrumental music,train
century_xii_medieval_sacred_songssegment74,Renaissance symbolism,train
gustav_holst__the_planets_op_32segment30,20th century traditional open view,train
jordi_savall__merula_tarquinio__arie_e_capricci_a_voce_sola__mfiguerassegment86,Baroque Classical secular subject,train
r_a_m_m_s_t_e_i_n_greatest_hits_full_album__best_songs_of_r_a_m_m_s_t_e_i_n_playlist_2021segment147,Heavy metal,train
_________ukrainian_folk_musicsegment116,European traditional folklore,train
john_williams_greatest_hits_full_album_2021__the_best_of_john_williams_playlist_collection_2021segment141,20th century traditional open view,train
garth_brooks_greatest_hits_full_album_best_songs_of_garth_brooks_hqsegment99,Modern instrumental music,train
joseph_haydn__the_creationsegment67,Baroque Classical symbolism,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment34,20th century experimental open view,train
rachmaninov__symphonies_nos123__vocalise__presentation_reference_record__evgeny_svetlanovsegment106,20th century traditional open view,train
handel_9_suitessegment221,Baroque Classical secular subject,validation
arcangelo_corelli_16531713__sonate_da_chiesasegment62,Baroque Classical symbolism,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment23,Baroque Classical symbolism,train
richie_havens__common_ground_1983_full_albumsegment6,African traditional folklore,train
faure_complete_piano_quartets__quintetssegment27,20th century traditional figure,train
best_of_metallica__metallica_greatest_hits_full_albumsegment179,Heavy metal,train
renaissance_choral_masterpiecessegment72,Renaissance symbolism,train
johannes_ockeghem_c14101497_masses_motets__chansonssegment89,Renaissance symbolism,train
shostakovich__symphony__10_in_e_minor_op__93_scoresegment59,20th century experimental open view,train
richard_strauss__metamorphosensegment26,20th century experimental open view,train
juan_atkins__electronicsegment46,Electronic music,train
paul_hindemith_ludus_tonalissegment145,20th century experimental figure,test
mily_balakirev__tamara_symphonic_poem_186782segment23,20th century traditional open view,train
the_best_song_of_richard_wagner___richard_wagne_top_hit_collectionsegment17,Romanticism open view,test
bosse__alligatoah__salzwasser_official_videosegment3,Electronic music,train
messiaen__quartet_for_the_end_of_time_themes_and_variationssegment99,20th century experimental figure,train
stravinsky_pulcinella_with_scoresegment28,20th century traditional open view,train
gems_of_the_renaissance_musicsegment29,Renaissance secular subject,train
sonny_terry__brownie_mcghee__on_the_road_againsegment4,African traditional folklore,train
johannes_brahms__woo_1_21_hungarian_dances_piano_4_hands_katsaris_merciersegment72,Romanticism figure,test
bartok__mikrokosmos_complete_with_scoresegment209,20th century experimental figure,train
de_falla_piano_music_completesegment192,20th century traditional figure,train
brahms_complete_piano_trios__guarneri_trio_praguesegment177,Romanticism figure,train
les_surs_goadec___ha_bobinosegment33,European traditional folklore,train
les_touareg__avec_les_seigneurs_des_sables__tassili_iforas_hoggarsegment68,African traditional folklore,train
jeanphilippe_rameau_nouvelles_suites__alexandre_tharaud_audio_videosegment38,Baroque Classical secular subject,validation
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment106,American traditional folklore,train
musiques_de_la_toundra_et_de_la_taigasegment69,European traditional folklore,train
the_best_of_kraftwerk___kraftwerkthe_greatest_hits_of_kraftwerksegment301,Electronic music,train
canti_popolari_sardi_e_danze_19531969segment128,European traditional folklore,train
new_10_chinese_songs_traditional_relaxing_meditsegment73,Asian traditional folklore,train
bach_mass_in_b_minor_bwv_232__karl_richtersegment53,Baroque Classical symbolism,test
traditional_italian_music_typical_instrumental_folksegment30,European traditional folklore,test
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment148,Baroque Classical symbolism,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment67,Romanticism open view,train
aztec_music__musica_prehispanica_vol1__fiesta__sacrificio__guerra__ritos__cinematic_deliriumsegment13,American traditional folklore,train
strauss_ii___waltzes_polkas__operettas__classical_music_collectionsegment92,20th century traditional figure,train
robert_schumann__symphony_no_4_op_120_1851_sheet_musicsegment33,Romanticism open view,train
monteverdi_choral_masterworkssegment21,Renaissance symbolism,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment44,American traditional folklore,train
__the_best_of_east_europe_folk__2021segment165,European traditional folklore,train
paul_hindemith_ludus_tonalissegment28,20th century experimental figure,train
giovanni_pierluigi_da_palestrina__first_book_of_madrigalssegment83,Renaissance secular subject,validation
arcangelo_corelli_16531713__sonate_da_chiesasegment107,Baroque Classical symbolism,train
brahms_complete_piano_quartetssegment192,Romanticism figure,train
drake__greatest_hits_full_album__best_songs_collection_2023segment396,Electronic music,train
flutes_of_rajasthan__1977segment70,Asian traditional folklore,train
