id,class,set
f0d19c5f206b5c32e3bafe2d757f4a8dc,Heavy metal,train
hubertineheijermans11,20th century traditional open view,validation
esaiasvandeveldefiveladiesinaninterior010alternatetitles0acompanyinaninterior020,Baroque Classical secular subject,train
diegorivera48,Modern instrumental music,train
titian209,Renaissance symbolism,train
oyvindfahlstrom1,American traditional folklore,train
twinsevenseven1,African traditional folklore,train
smsultan5,Asian traditional folklore,train
hiroshige41,Asian traditional folklore,train
vincentvangogh500,Romanticism figure,train
giovannibattistatiepolo90,Baroque Classical symbolism,train
b6d1b77108832c39cd239092bf324816c,Heavy metal,test
enriquegrau3,American traditional folklore,train
jamiewyethgiulianaandthesunflowers1987,Modern instrumental music,train
nicholasroerichpinkglacierasflower1944,20th century traditional open view,validation
pierreaugusterenoir328,20th century traditional figure,validation
raullozza9,20th century abstractionism,train
katsushikahokusaispringscenealongthesumida,Asian traditional folklore,train
norvalmorrisseau20,American traditional folklore,train
pierreaugusterenoir102,20th century traditional figure,train
marcchagall49,European traditional folklore,train
gabrielmetsutheintruder,Baroque Classical secular subject,validation
roylichtenstein17,Electronic music,train
leekrasnernoon1947,20th century abstractionism,train
njidekaakunyilicrosby55,African traditional folklore,train
henrimatisse139,20th century traditional figure,train
raphael51,Renaissance symbolism,train
andywarhol160,Electronic music,test
utagawakuniyoshiurawa,Asian traditional folklore,validation
francesmacdonald6,European traditional folklore,train
lyonelfeininger23,20th century experimental open view,train
francescodelcossa19,Renaissance secular subject,train
marcchagall215,European traditional folklore,train
diegovelazquez86,Baroque Classical symbolism,train
kentmonkman15,American traditional folklore,train
martirossaryanarmenianvillage1919,20th century experimental open view,train
giovannibattistapiranesi30,Baroque Classical symbolism,train
sandrobotticelli97,Renaissance secular subject,train
peterblake23,Modern instrumental music,validation
edgardegas228,Romanticism figure,train
paulklee29,20th century abstractionism,train
sirlawrencealmatademaaheartywelcome1878,Romanticism figure,test
camillepissarro33,20th century traditional open view,validation
761a67fa25f1d77eb8cd0967019350f4c,African traditional folklore,train
fridakahlo88,Modern instrumental music,train
mauriceutrillodistilleryofsaintdenis,20th century experimental open view,validation
pierreaugusterenoir292,20th century traditional figure,train
janvaneyck77,Renaissance symbolism,train
salvadordali17,20th century abstractionism,train
4dbdbb54dd2bef21c48cf1bb41b5494dc,Modern instrumental music,train
arkhipkuindzhithecrimeathesouthernshore1887,20th century traditional open view,train
leonardodavinci76,Renaissance secular subject,test
williamhogarthtimesofthedaymorning,Baroque Classical secular subject,train
adriaenvanostadepipinganddrinkinginthetavern,Baroque Classical secular subject,train
ded60342c48fc71aa2ad797bd37eea1dc,Heavy metal,train
edgardegas638,20th century traditional open view,train
diegovelazquez117,Baroque Classical secular subject,train
kazimirmalevich62,20th century abstractionism,train
leonardodavinci79,Renaissance secular subject,train
norvalmorrisseau34,American traditional folklore,train
marcchagall76,European traditional folklore,train
konstantinmakovskycairene1,Romanticism figure,train
d95f5c251d942ae23476392d9e0df5bcc,Heavy metal,train
alfredsisley66,Romanticism open view,train
pieterbruegel83,Renaissance secular subject,train
sandrobotticelli163_2,Renaissance symbolism,validation
thewolfmen1925jpglarge,American traditional folklore,train
vincentvangogh592,Romanticism open view,train
myronstoutuntitled5217551955,Electronic music,train
edgardegas506,20th century traditional figure,train
oskarkokoschkanotdetected235934,20th century traditional figure,train
georgesseurat29,Romanticism open view,train
3e52ea0cd13f8105301a0f93a7fc2fd2c,Modern instrumental music,train
thomasfaedetal2,European traditional folklore,train
ritaangus1,20th century traditional open view,train
neilwelliver19,20th century traditional open view,validation
diegorivera53,Modern instrumental music,train
peterpaulrubens28,Baroque Classical symbolism,train
edgardegas80,Romanticism figure,train
qibaishi38,Asian traditional folklore,train
jeanmichelbasquiat52,Modern instrumental music,train
vincentvangogh211,Romanticism figure,train
walterbattiss84,African traditional folklore,test
raphael84,Renaissance symbolism,train
dimitrismytaras9,European traditional folklore,train
tracy1687,Electronic music,train
twinssevenseven7,Asian traditional folklore,test
nicholasroerichseagull1901,20th century experimental figure,train
ed8c9a8ecb02dbdc4815fab91fbf123dc,Electronic music,validation
indianhunt1894jpglarge,American traditional folklore,train
mikhailvrubel161,20th century traditional figure,validation
tccannon10,American traditional folklore,train
theodoregericault74,Romanticism figure,train
4c046cc2c0692c8d3253a042dd103d8dc,Heavy metal,train
kaynielsentheprincessandthepea,20th century experimental figure,train
renemagritte80,20th century experimental open view,train
9f078b87d656391c65291040d07196a6c,African traditional folklore,validation
edouardmanet90,Romanticism figure,train
bernardobellottoaviewofthelobkowiczpalaceinvienna1761,Baroque Classical secular subject,train
fraangelico11,Renaissance symbolism,train
pierreaugusterenoir167,20th century traditional figure,test
marcchagall58,European traditional folklore,validation
odilonredonthebirthofvenus1,20th century experimental figure,train
mariaprimachenkofatherfrostcarriesthenewyeartree1960,European traditional folklore,train
edgardegas57,Romanticism figure,validation
d12466542cbaab2871be98d1390fbc7bc,Heavy metal,train
ernstludwigkirchnergroupofartists1927,20th century experimental figure,validation
0bb7f0f595db55649fb8513a4e818f3bc,European traditional folklore,train
albrechtduerer57,Renaissance symbolism,train
vincentvangogh319,Romanticism figure,train
petrosmalayan5,20th century traditional open view,train
raphael66,Renaissance symbolism,train
craigkauffmanuntitled1958,20th century abstractionism,train
jacopopontormo11,Renaissance secular subject,train
lucianfreudmemoryoflondon,20th century traditional figure,train
katsushikahokusaifishinginthebayuraga,Asian traditional folklore,test
raphaelkirchnerenvy,20th century experimental figure,train
louaykayyali4,African traditional folklore,validation
robertomatta15,Electronic music,train
francescoribalta15,Baroque Classical symbolism,train
700980an,Asian traditional folklore,train
giovannibattistapiranesi44,Baroque Classical symbolism,train
josephfarquharson15,20th century traditional open view,train
marinapallares22,American traditional folklore,train
mauricedevlamincktheseineandthechatoubridge,20th century experimental open view,test
renemagritte146,20th century experimental open view,train
williamturner11,Romanticism open view,train
attackonawagontrain1902jpglarge,American traditional folklore,train
janvaneyck43,Renaissance symbolism,train
kitagawautamaroasceneonthebridgeandbeld2,Asian traditional folklore,train
irmastern42,African traditional folklore,test
mfhusain1,Asian traditional folklore,validation
lallaessaydi35,African traditional folklore,train
markrothko26,20th century abstractionism,train
1a8791bbbb98ada945bed88bb06a1254c,Electronic music,train
julesbreton1,20th century traditional open view,test
elgreco34,Renaissance secular subject,train
martirossaryanpersia1913,20th century experimental open view,train
giovannibattistatiepolo106,Baroque Classical symbolism,test
richardtuttlelettersthetwentysixseries1966,Electronic music,train
katsushikahokusai54,Asian traditional folklore,train
nicholasroerichwhitehimalayas1931,20th century traditional open view,train
vincentvangogh777,Romanticism figure,train
perlefineblackonyellow1952,20th century abstractionism,train
markrothko7,20th century abstractionism,train
joseclementeorozco14,American traditional folklore,test
mcescherpalmtree,20th century experimental open view,test
irmastern37,African traditional folklore,validation
leonardodavinci22,Renaissance secular subject,train
paulklee117,20th century abstractionism,train
c9ee4288d7d9e8f8b6a5644284cec07bc,Heavy metal,train
thomasgainsboroughportraitofmrsawse1767,Baroque Classical secular subject,train
francescoguardiviewoftheislandofsangiorgioinalgavenice,Baroque Classical secular subject,train
aaffce85d49c8642f4227e508cbdf070c,Heavy metal,validation
franciscogoya66,Romanticism figure,test
atsukotanaka77r841984,20th century abstractionism,validation
gustavecourbet44,Romanticism open view,validation
0c13f61f6c8d9b212cb9817e110a7a2bc,African traditional folklore,train
diegovelazquez80,Baroque Classical symbolism,train
henrimatisse83,20th century traditional figure,test
kolomanmoserdesignfortheanniversarycardkorrespodenzviennaedition1908,20th century experimental figure,train
e5b972d3730347ad431caa7d8b8b9193c,Heavy metal,train
crowscoutsinwinter1907jpglarge,American traditional folklore,train
raphaelkirchnerroma6,20th century experimental figure,train
rembrandt113,Baroque Classical secular subject,train
peterpaulrubens124,Baroque Classical symbolism,train
franciscogoya88,Romanticism figure,train
alaaawad27,African traditional folklore,test
pietrolorenzetti18,Renaissance symbolism,test
williamblake4,Romanticism figure,train
titian57,Renaissance secular subject,train
renemagritte58,20th century abstractionism,train
7a6226cc97eb8b5d4d1edcb06634ac7cc,Modern instrumental music,train
edouardmanet30,Romanticism figure,train
edgardegas136,20th century traditional figure,train
vincentvangogh876,Romanticism open view,train
paulgauguin167,20th century experimental figure,train
mikhailvrubel105,20th century traditional figure,train
robertindiana4,Electronic music,train
camillepissarro11,20th century traditional open view,test
ruthannaqtuusitulurialik3,American traditional folklore,train
katsushikahokusainotdetected2235031,Asian traditional folklore,train
kitagawautamarothehourofthedragon,Asian traditional folklore,train
vincentvangogh657,Romanticism open view,test
sandrobotticelli164_2,Renaissance secular subject,train
04b7f2f2fc0ea2284cde3dc492ce723cc,Heavy metal,train
beauforddelaney2,Modern instrumental music,validation
e258024a05ffa6ad601901e6326a4301c,Electronic music,train
jimdinepicabiaiiigroans1971,Electronic music,train
ivannikitintzarinanataliaalekseevna1,Baroque Classical symbolism,train
rogiervanderweiden4,Renaissance secular subject,train
ivanaivazovskyseaview,Romanticism open view,train
paulklee122,20th century abstractionism,train
zdzislawbeksinski73,Heavy metal,train
fridakahlo71,Modern instrumental music,train
henrimatissethecircus1943,20th century abstractionism,train
franshalsportraitofaman6,Baroque Classical secular subject,train
vincentvangogh214,Romanticism open view,train
salvadordalirhinoceroticfigures,20th century abstractionism,train
francescoribalta10,Baroque Classical symbolism,train
alaaawad9,African traditional folklore,train
nicholasroerichmusiians1921,20th century traditional figure,train
pierreaugusterenoir99,20th century traditional figure,train
davidbowie5,Modern instrumental music,train
zdzislawbeksinski32,Heavy metal,validation
childehassamcanalscene,20th century traditional open view,train
lucianfreudpaddingtoninteriorharrydiamond1970,20th century traditional figure,train
jeanmichelbasquiat126,Modern instrumental music,train
edmonialewishiawatha5,American traditional folklore,train
vincentvangogh846,Romanticism open view,test
06d145d54c455042292e613d02b47c49c,Heavy metal,train
8ec427ad416711c2274805955c1658cfc,Heavy metal,train
fss2018135001crop,Asian traditional folklore,train
jeanmichelbasquiat63,Modern instrumental music,train
diegovelazquez109,Baroque Classical secular subject,train
titian49,Renaissance secular subject,train
edgardegas277,20th century traditional figure,train
franciscogoya74,Romanticism figure,train
paulklee27,20th century abstractionism,train
24df8a50dd1153ad4b36a1a170c4defdc,Heavy metal,train
franshalsportraitofmarypietersdrolycan,Baroque Classical secular subject,train
ivanaivazovskyduskonthegoldenhorn1845,Romanticism open view,test
7b8ccc4866319043d8797482429ec925c,Modern instrumental music,test
duccio72,Renaissance symbolism,test
evelyneaxelllejolimoisdemai1970,Electronic music,train
ernstludwigkirchnerstreetscene,20th century experimental figure,train
francescohayezmelancholicthoughts1842,Romanticism figure,train
nicholasroerichsantana,20th century experimental open view,train
mariojoseangeles16,American traditional folklore,train
howardhodgkinuntitled1976,20th century abstractionism,train
pablopicasso112,20th century experimental figure,train
amedeomodigliani3,20th century experimental figure,train
andywarhol168,Electronic music,train
franciscogoya232,Romanticism figure,test
andreirublev32,Renaissance symbolism,test
edgardegas29,Romanticism figure,test
marcchagall144,European traditional folklore,train
713df66b7398e91860cd49a342a3237dc,Heavy metal,train
normanrockwell7,Modern instrumental music,train
marcchagall213,20th century experimental open view,train
58a0c489708acebf9e39083906e7a6f7c,Heavy metal,validation
gabrielmetsumanwritingaletter,Baroque Classical secular subject,train
diegorivera21,Modern instrumental music,validation
edgardegas341,Romanticism figure,validation
vincentvangogh45,Romanticism figure,train
3af9ed591a821803bae6c84389782f92c,European traditional folklore,train
joanmitchelluntitled1992,20th century abstractionism,test
williamturner31,Romanticism open view,train
vincentvangogh412,Romanticism figure,train
amedeomodigliani126,20th century traditional figure,train
taroyamamotoabstract1957,20th century abstractionism,train
nicholasroerichlakeofthenagaskashmir1936,20th century traditional open view,validation
al7,European traditional folklore,train
josephfarquharson25,20th century traditional open view,train
edgardegas171,20th century traditional figure,train
paulgauguin186,20th century experimental open view,test
ubbelohodeetal1,European traditional folklore,train
williamturner23,Romanticism figure,train
laurelcanyonetal3,Modern instrumental music,train
robertrymanclassico51968,Electronic music,train
titian140,Renaissance symbolism,train
zdzislawbeksinski162,Heavy metal,train
marcchagall69,European traditional folklore,train
paolouccello3,Renaissance secular subject,train
nicholasroerichwhitehorses1925,20th century traditional open view,validation
nicholasroerichvignetteforbooknkroerich191824,20th century experimental figure,test
jeanmichelbasquiat88,Modern instrumental music,train
pierreaugusterenoir335,20th century traditional figure,validation
fridakahlo118,Modern instrumental music,train
alfredsisley180,Romanticism open view,train
antonraphaelmengs33,Baroque Classical symbolism,validation
denisegreenaroseisarosealice2005,Electronic music,train
ivanserpa4,American traditional folklore,train
mcescheremblematabutterfly,20th century abstractionism,train
yayoikusama3,Electronic music,train
vincentvangogh441,Romanticism figure,train
hieronymusbosch76,Renaissance symbolism,train
njidekaakunyilicrosby6,African traditional folklore,train
wifredolam12,American traditional folklore,train
aldomondinountitled2000,Electronic music,train
titian226,Renaissance symbolism,train
katsushikahokusai75,Asian traditional folklore,train
amedeomodigliani144,20th century experimental figure,train
mikhailnesterov50,European traditional folklore,train
robertrauschenberg33,Modern instrumental music,train
hourianiati9,African traditional folklore,validation
ancientegipt77,African traditional folklore,train
cytwomblyuntitled,20th century abstractionism,train
claudemonet53,20th century traditional open view,train
camillepissarro60,20th century traditional open view,train
cb843b954e902f7f64e3cd8ca5e86eabc,Heavy metal,train
richardhamilton16,Electronic music,train
raphael29,Renaissance symbolism,test
gustavecourbet16,Romanticism figure,train
giovannibattistatiepolo112,Baroque Classical symbolism,train
pierreaugusterenoir183,20th century traditional open view,train
titian236,Renaissance symbolism,train
ancientegipt149,African traditional folklore,test
pablopicasso401,20th century traditional figure,train
childehassamcalvarychurchinthesnow,20th century traditional open view,train
josevillegascorderoetal8,European traditional folklore,train
albrechtduerer145,Renaissance secular subject,test
paulsimononetal11,Modern instrumental music,train
johnchamberlainuntitled1960,20th century abstractionism,validation
pablopicasso106,20th century experimental figure,train
janvaneyck49,Renaissance symbolism,train
peterblake16,Modern instrumental music,train
henrimatisse108,20th century traditional figure,validation
pablopicasso141,20th century abstractionism,train
franciscogoya263,Romanticism figure,train
julioromerodetorres10,European traditional folklore,train
antoineblanchardarcdetriomphe3,20th century traditional open view,test
hiroshigegreymulletandcamellia,Asian traditional folklore,train
ivanaivazovskysea2,Romanticism open view,train
raphael1,Renaissance symbolism,train
walterbattiss3,African traditional folklore,validation
davidbowie14,Modern instrumental music,train
theodoregericault12,Romanticism figure,train
jyotibhatt7,Asian traditional folklore,train
williamturner58,Romanticism open view,train
franciscobayeuysubias4,Baroque Classical symbolism,train
andreamantegna23,Renaissance secular subject,train
jacqueslouisdavid21,Baroque Classical symbolism,train
vincentvangogh719,Romanticism figure,train
williamturner50,Romanticism open view,train
georgesseurat22,Romanticism open view,train
katsushikahokusaiawomanghostappearedfromawell,Asian traditional folklore,validation
mahmoudsaiid25,African traditional folklore,train
konstantinvasilyev7,Heavy metal,train
utagawakuniyoshitheghostinthelantern,Asian traditional folklore,train
alonzocanoimmaculateconception1648,Baroque Classical symbolism,train
agostinocarracciachilleandbriseis,Baroque Classical symbolism,train
carlosorozcoromero6,American traditional folklore,train
justinearlgrant6,American traditional folklore,train
edvardmunch15,20th century traditional figure,train
hubertineheijermans4,20th century traditional open view,train
gustavecourbet37,Romanticism figure,train
thiagoboecan13,American traditional folklore,train
4d236dd62103eb0c3baf01baa626d632c,Heavy metal,train
albrechtduerer276,Renaissance secular subject,train
juliemehretu8,Electronic music,train
gustavklimt13,20th century traditional open view,train
jaminroyetal11,Asian traditional folklore,train
francesmacdonald19,European traditional folklore,train
janvanhemessen9,Renaissance secular subject,train
archibaldmotley18,Modern instrumental music,train
70156c46e90fb966926503ba90dfaa34c,Heavy metal,train
205c6dbd0267300add3e26b685a05c06c,Modern instrumental music,train
juliemehretu14,Electronic music,train
964f3048cdb5e3d11200cd7e574e1e5cc,Electronic music,train
pierreaugusterenoir30,20th century traditional figure,train
amedeomodigliani36,20th century traditional figure,train
giorgiodechirico17,20th century experimental figure,train
edgardegas419,20th century traditional figure,train
pierreaugusterenoir193,20th century traditional open view,train
redgrooms3,Modern instrumental music,train
pauljenkinsnotdetected235722,20th century abstractionism,test
ernstludwigkirchnerstreetsceneinfrontoftheshopwindow,20th century experimental figure,train
williamcongdoncambodiano11960,20th century abstractionism,train
jeanmichelbasquiat69,Modern instrumental music,test
francoisbouchermadamebergeret1766,Baroque Classical secular subject,train
53648as,Asian traditional folklore,train
walterbattiss34,African traditional folklore,train
odilonredonthemaskofthereddeath1883,20th century experimental figure,train
9038876d53b3071ebb41fbe64e940955c,Heavy metal,validation
vincentvangogh57,Romanticism open view,train
ivanaivazovskytheshipwreckinastormysea,Romanticism open view,train
norvalmorrisseau49,American traditional folklore,test
sandrobotticelli121,Renaissance symbolism,train
pablopicasso389,20th century experimental figure,train
patrickcaulfieldtwofishonaplate1999,Modern instrumental music,train
vincentvangogh401,Romanticism open view,train
wangechimutu10,African traditional folklore,train
fayumportrait59,African traditional folklore,train
thotavaikuntam7,Asian traditional folklore,train
edgardegas130,20th century traditional open view,train
kazimirmalevich39,20th century abstractionism,train
angeloingannietal3,European traditional folklore,train
claudiocoello6,Baroque Classical symbolism,train
pierreaugusterenoir69,20th century traditional figure,test
50f0c4459ad977421c4efa58a9a70799c,Heavy metal,validation
antonioberni1,Modern instrumental music,train
franciscogoya25,Romanticism figure,train
pablopicasso302,20th century experimental figure,train
gustaveloiseau6,20th century experimental open view,train
pietmondrian25,20th century experimental open view,train
elisabettasirani14,Baroque Classical symbolism,train
paularego6,Modern instrumental music,train
aztecart93,American traditional folklore,train
andywarhol119,Electronic music,train
roylichtenstein1,Electronic music,train
edwardhopper10,Modern instrumental music,test
konstantinbogaevskyacloud,20th century experimental open view,validation
balthus4,Modern instrumental music,train
filippopalizzi7,European traditional folklore,train
renemagritte94,20th century experimental open view,train
francescodelcossa11,Renaissance secular subject,train
b21711daae258cc4785d631357a1fe61c,Heavy metal,train
theodoregericault69,Romanticism figure,train
agnesmartinuntitled1965,Electronic music,train
rodrigo_franzao7,American traditional folklore,validation
jeanmichelbasquiat108,Modern instrumental music,train
nicholasroerichthecourtofprincevladimirgalitskystudyofscenedesignforprinceigor1914,20th century experimental open view,train
8b9f9ed901ad7640a21e44f30bb0db47c,European traditional folklore,train
lallaessaydi40,African traditional folklore,train
bettyparsonsuntitledabstraction4,20th century abstractionism,train
dccb03abcfd70ca4d33d292b6b26e3c2c,African traditional folklore,train
lenainbrothersthehappyfamily1642,Baroque Classical secular subject,test
jahardasgupta4,Asian traditional folklore,train
irmastern40,African traditional folklore,train
francescoribalta23,Baroque Classical symbolism,validation
paulgauguin142,20th century experimental figure,train
paulklee185,20th century abstractionism,train
rembrandt142,Baroque Classical secular subject,validation
vincentvangogh347,Romanticism open view,train
kittelsen23,European traditional folklore,train
twinsevenseven28,African traditional folklore,train
vincentvangogh518,Romanticism open view,train
renemagritte106,20th century abstractionism,train
paulgauguin245,20th century experimental figure,train
jeanfouquet12,Renaissance secular subject,validation
mariaprimachenkoflaxbloomsandacossackgoestoagirl1982,European traditional folklore,train
odilonredonapolloschariot6,20th century experimental open view,train
nicholasroerichatree1944,20th century traditional open view,train
aztecart72,American traditional folklore,train
ramonoviedo3,American traditional folklore,validation
raphaelkirchnergirlsbetweenbrowngreenborders19014,20th century experimental figure,train
leonardodavinci78,Renaissance secular subject,train
franssnydershoundsbringingdownaboar,Baroque Classical secular subject,train
stuartdavis16,Modern instrumental music,train
mikhailvrubel118,20th century traditional figure,train
johnsingletoncopley5,Baroque Classical symbolism,train
andreamantegna4,Renaissance secular subject,train
enriquesilvestre5,American traditional folklore,train
peterpaulrubens48,Baroque Classical symbolism,validation
josemariavelasco15_2,20th century traditional open view,train
gustavecourbet46,Romanticism open view,train
diegovelazquez66,Baroque Classical secular subject,train
giottodibondone43,Renaissance symbolism,train
filippmalyavin3,European traditional folklore,test
fernandlegerthebuildersoutsidecolor1955,European traditional folklore,test
andywarhol8,Electronic music,train
vincentvangogh115,Romanticism figure,train
zdzislawbeksinski80,Heavy metal,train
janvaneyck19,Renaissance symbolism,train
perlefineuntitled1951,20th century abstractionism,test
georgesseurat33,Romanticism open view,train
rembrandt54,Baroque Classical symbolism,train
amritashergil15,Asian traditional folklore,train
katsushikahokusaiwomaninaninterior,Asian traditional folklore,train
pierreaugusterenoir255,20th century traditional figure,train
norvalmorrisseau42,American traditional folklore,train
beauforddelaney18,Modern instrumental music,train
pierreaugusterenoir308,20th century traditional figure,test
diegovelazquez46,Baroque Classical secular subject,train
aztecart82,American traditional folklore,test
pieterbruegel95,Renaissance symbolism,train
sandrobotticelli98,Renaissance secular subject,train
johnhenrytwachtman6,20th century experimental open view,train
yayoikusama6,Electronic music,train
howardhodgkindinneratsmithsquare1979,20th century abstractionism,train
johnleech1,European traditional folklore,train
georgiaokeefee85,20th century experimental open view,train
ea3dca7176d00ee20582acb24e2a6505c,Electronic music,train
georgiaokeefee79,20th century traditional open view,train
titian88,Renaissance secular subject,train
paulklee110,20th century abstractionism,train
albrechtduerer125,Renaissance symbolism,train
keithharing35,Electronic music,train
edvardmunch53,20th century experimental open view,validation
pierreaugusterenoir312,20th century traditional open view,train
ivanaivazovskysmolnyconvent1849,Romanticism open view,train
antonioligabue3,European traditional folklore,train
nicholasroerichkangchenjunga3,20th century traditional open view,train
armandoreveron10,American traditional folklore,train
ivanaivazovskylunarnight1857,Romanticism open view,train
johnhoylandwatching201072007,20th century abstractionism,train
rembrandt90,Baroque Classical symbolism,validation
janvaneyck60,Renaissance symbolism,validation
cytwomblyheroandleandroapaintinginfourpartspartiii,20th century abstractionism,train
alfredsisley220,Romanticism open view,test
d0a4ebdca61e6cc7f0c6e937d105f1f5c,Heavy metal,train
dmitrylevitzkyannadorothealouiseschmidtnebaronessklossen,Baroque Classical secular subject,train
jaroslavkeluc19,20th century traditional open view,train
georgiaokeefee45,20th century experimental open view,train
marcchagall101,European traditional folklore,train
eugenedelacroix30,Romanticism open view,train
914c06ab2bb5bc1a3b8e363aafcda3b0c,Modern instrumental music,train
rogiervanderweiden9,Renaissance secular subject,train
kittelsen27,European traditional folklore,train
edgardegas272,20th century traditional figure,train
caspardavidfriedrich36,Romanticism open view,train
edgardegas543,Romanticism figure,train
edgardegas335,Romanticism figure,train
vincentvangogh641,Romanticism open view,train
amedeomodigliani26,20th century traditional figure,train
alfredsisley196,Romanticism open view,train
julesbreton2,20th century traditional open view,train
vincentvangogh530,Romanticism open view,validation
72e21823a0271e4a246b240dfd83e0c5c,Modern instrumental music,train
alfredsisley100,Romanticism open view,test
cytwomblyquarzeat,20th century abstractionism,train
oskarkokoschkaadolfloos1909,20th century traditional figure,test
richardhamilton6,Electronic music,train
pablopicasso245,20th century experimental figure,train
nicholasroerichspring1931,20th century traditional open view,train
georgiaokeefee2,20th century experimental open view,train
alfredsisley79,Romanticism open view,validation
mikhailnesterov7,European traditional folklore,train
mikhailvrubel68,20th century experimental figure,train
raphaelkirchnerscenesofancientgreece1903,20th century experimental figure,train
herradoflandsberg1,European traditional folklore,train
pietrodacortonathegoldenage,Baroque Classical symbolism,train
abrahampalatnik4,American traditional folklore,test
hiroshige40,Asian traditional folklore,validation
salvadordali90,20th century experimental figure,train
881eea9812a1a2215750fac6cbdfedf6c,Heavy metal,train
peterblake31,Modern instrumental music,train
jacqueslouisdavid36,Baroque Classical secular subject,train
rosemarykaruga2,African traditional folklore,train
giovanniantonioboltraffio7,Renaissance secular subject,train
richardtuttle20pearls22003,Electronic music,validation
henrimatisse176,20th century experimental figure,train
joanmiro50,20th century traditional figure,test
53265as,Asian traditional folklore,train
vikingart25,European traditional folklore,test
vincentvangogh495,Romanticism open view,train
mikhailvrubel42,20th century traditional figure,train
tsukiokayoshitoshinotdetected242418,Asian traditional folklore,test
edvardmunch24,20th century traditional figure,train
nicholaskrushenickflyingcircus1965,Electronic music,train
giovannibattistapiranesi24,Baroque Classical symbolism,train
caspardavidfriedrich72,Romanticism open view,validation
ernstludwigkirchnerwildbodenmountainsforest1928,20th century experimental open view,validation
albrechtduerer232,Renaissance secular subject,train
davidtenierstheyoungerthepainterandhisfamily,Baroque Classical secular subject,train
leeufanfromline1978,Electronic music,test
mikhailvrubel66,20th century experimental figure,train
thomasgainsboroughlandscapewithawoodcutterandmilkmaid1755,Baroque Classical secular subject,train
55c65596fe4960be2e6e555873f927eec,Heavy metal,train
odilonredonflowerclouds1903,20th century experimental open view,train
ronnielandfieldtaureanentrance1973,20th century abstractionism,test
edouardmanet31,Romanticism figure,train
vincentvangogh567,Romanticism figure,train
marcchagall152,European traditional folklore,train
edgardegas275,Romanticism figure,train
parkseoboecritureno0505202005,Electronic music,train
paulklee16,20th century experimental open view,train
f5558de1ff2a12f97a198f3a1212322cc,Heavy metal,train
vincentvangogh606,Romanticism figure,train
michela_de_vito11,European traditional folklore,validation
walterbattiss61,African traditional folklore,train
odilonredontheflightintoegypt,20th century abstractionism,train
vincentvangogh577,Romanticism open view,train
160c40e1d37ae9ab051b94bb128d3dfbc,Electronic music,train
edgardegas155,20th century traditional figure,train
edgardegas187,20th century traditional figure,train
nicholasroerichthevicioustown1919,20th century experimental open view,train
nandalalbose8,Asian traditional folklore,test
mauricequentindelatourlouisxvoffrance,Baroque Classical secular subject,train
johnduncan6,European traditional folklore,train
jeanmichelbasquiat98,Modern instrumental music,train
childehassamafterglowgloucesterharborakatenpoundislandlight,20th century experimental open view,test
raphael44,Renaissance symbolism,train
samfrancisfirewood1973,20th century abstractionism,train
andywarhol32,Electronic music,validation
fraangelico1,Renaissance symbolism,train
2c7ce921ab605014d7b8786a1890b671c,African traditional folklore,train
pietmondrian39,20th century traditional figure,train
caspardavidfriedrich105,Romanticism open view,train
